filename,question_number,topic,confidence,syllabus,session_code,session_name,year,paper_number,paper_type,variant,question_text,marks
0607_m21_qp_22.json,1(a),statistics,high,607,m,Mar/May,2021,2,non_calculator,2,"These are the test results for 14 students. 27 19 22 25 18 23 24 17 16 25 17 27 23 26 Construct an ordered stem-and-leaf diagram to show this information, including a key.",3
0607_m21_qp_22.json,1(b),statistics,high,607,m,Mar/May,2021,2,non_calculator,2,Find the median.,1
0607_m21_qp_22.json,2,vectors,high,607,m,Mar/May,2021,2,non_calculator,2,"Point A (7, 5) is translated to point B (2, 2). Find the vector that represents this translation.",2
0607_m21_qp_22.json,3,topics in arithmetic,high,607,m,Mar/May,2021,2,non_calculator,2,Find the highest common factor (HCF) of 84 and 72.,1
0607_m21_qp_22.json,4,solving linear equations,high,607,m,Mar/May,2021,2,non_calculator,2,Solve. |x| + 2 = 7,1
0607_m21_qp_22.json,5(a),straight lines,high,607,m,Mar/May,2021,2,non_calculator,2,"Point A has coordinates (-3, 2). Point B has coordinates (5, -4). Find the mid-point of AB.",2
0607_m21_qp_22.json,5(b),Pythagoras,high,607,m,Mar/May,2021,2,non_calculator,2,Find the length of AB.,3
0607_m21_qp_22.json,6,exponents and surds,high,607,m,Mar/May,2021,2,non_calculator,2,Find the value of p when 2^6 ÷ 4^p = 2^7.,3
0607_m21_qp_22.json,7(a),probability,high,607,m,Mar/May,2021,2,non_calculator,2,Iraj travels to school either by bus or on a bicycle. The probability that he goes by bus is 0.3. He can have lunch at home or at school. The probability that he has lunch at school is 0.6. Complete the tree diagram.,2
0607_m21_qp_22.json,7(b),probability,high,607,m,Mar/May,2021,2,non_calculator,2,Find the probability that Iraj travels on a bicycle to school and goes home for lunch.,2
0607_m21_qp_22.json,8,expanding and factorising,high,607,m,Mar/May,2021,2,non_calculator,2,Expand and simplify. 4(2a + 5b) - 3(6b - 3a),2
0607_m21_qp_22.json,9(a),circle theorems,high,607,m,Mar/May,2021,2,non_calculator,2,"A, B, C, and D are points on a circle. CDE is a straight line. Find angle ABC.",1
